Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
CoRoT-28 b,Transit,153.82972,10.705,5.20851,0.0603,1.3423535,0.125395,0.0030697411,0.060366601,0.0574659,0.0631341,672.73742,1296.8241,,Jovian,0,Hot,0,0.083066795,CoRoT-28,13.783,766.183,5150,1.01,1.78,G,2.4434306,4.2204986
HD 24040 c,Radial Velocity,63.88351,9.35,515.4,1.3,0.73074449,0.078154491,0.04481781,1.307865,1.157,1.443,1.1239754,261.69688,,Jovian,1,Warm,0,0.4280411,HD 24040,7.515,46.6224,5776.49,1.1,1.39,G,1.8879913,3.7099133
K2-264 b,Transit,5.61,2.231,5.840002,0.05023,1.1271033,0.50520094,0.00056240527,0.05650875,0.025115,0.075345,15.119694,476.51107,538.14438,Superterran,0,Hot,0,0.32457105,K2-264,16.701,185.605,3660,0.5,0.47,M,0.033036954,0.49075391
K2-315 b,Transit,0.809,0.95,3.1443189,0.023263602,0.89639889,0.94357778,0.00039140713,0.023263602,0.023263602,0.023263602,7.5795966,422.67955,477.35013,Terran,0,Hot,0,0.45742471,K2-315,17.67,56.9686,3300,0.17,0.2,M,0.004102041,0.17292738
DMPP-1 e,Radial Velocity,4.13,1.86,5.516,0.0651,1.1937796,0.641817,0.00091180943,0.065259495,0.060543,0.069657,494.20218,1199.9856,1355.1952,Superterran,0,Hot,0,0.26435102,DMPP-1,7.98,62.5388,6196,1.21,1.26,F,2.0892961,3.9026874
GJ 160.2 b,Radial Velocity,10.2,3.17,5.2354,0.053,1.0150365,0.32020078,0.0012230363,0.0530954,0.04982,0.05618,57.046815,699.62282,,Neptunian,0,Hot,0,0.22441106,GJ 160.2,9.7,25.8557,4347,0.69,0.66,M,0.1599558,1.0798508
HATS-18 b,Transit,629.14449,14.897,0.83784,0.0174,2.834998,0.19030664,0.0012276453,0.017639737,0.0145116,0.0202884,3111.4957,1892.6555,,Jovian,0,Hot,0,0.061138046,HATS-18,14.188,624.368,5600,1.04,1.02,G,0.92896639,2.6023384
TOI-544 c,Radial Velocity,21.5,4.92,50.089,0.22792118,0.88819486,0.18052741,0.0050285736,0.23959074,0.1549864,0.30085596,2.5579333,315.75382,,Neptunian,0,Hot,0,0.43866497,TOI-544,10.777,41.1166,4169,0.63,0.62,K,0.12589254,0.95799615
TOI-1416 b,Transit,3.48,1.62,1.0697568,0.019,1.3260174,0.81852924,0.00031024296,0.019,0.019,0.019,960.48989,1418.1524,1601.5803,Superterran,0,Hot,0,0.27479549,TOI-1416,9.91,55.0135,4884,0.8,0.79,G,0.34673685,1.5898779
TOI-3912 b,Transit,129.03833,14.28,3.4936264,0.0463,0.63279395,0.044313302,0.0022740342,0.0463,0.0463,0.0463,874.65749,1385.3491,,Jovian,0,Hot,0,0.064374738,TOI-3912,12.507,465.992,5725,1.09,1.39,G,1.8749945,3.6971218
HD 22532 b,Radial Velocity,673.79622,13.4,872.6,1.9,3.7524851,0.2800362,0.13905509,1.900855,1.843,1.957,5.208208,384.76758,,Jovian,0,Hot,0,0.22508475,HD 22532,7.85,161.183,5038,1.57,5.69,G,18.793168,11.704794
Kepler-1669 c,Transit,4.27,1.901,1.6093201,0.0228,1.1815814,0.62155781,0.00043626741,0.0228,0.0228,0.0228,302.78218,1062.6305,1200.0742,Superterran,0,Hot,0,0.26401851,Kepler-1669,16.473,543.444,4224,0.61,0.6,K,0.15739829,1.0711832
Kepler-1859 b,Transit,3.13,1.583,2.7295999,0.0394,1.2490577,0.78904467,0.00056017117,0.0394,0.0394,0.0394,918.34857,1402.3344,1583.7164,Terran,0,Hot,0,0.27660618,Kepler-1859,15.178,1331.25,5887,1.09,1.24,G,1.4256076,3.2237679
TOI-199 c,Transit Timing Variations,88.99195,11.4,273.69,0.807,0.68476416,0.060067031,0.033258412,0.81071866,0.729528,0.884472,0.70837535,233.29862,,Jovian,1,Warm,0,0.39478376,TOI-199,10.701,102.27,5255,0.94,0.82,G,0.45919801,1.8296321
TOI-4010 c,Transit,20.31,5.93,5.414654,0.058,0.57756456,0.097397059,0.0016022394,0.0580261,0.05626,0.05974,118.39668,840.1586,,Neptunian,0,Hot,0,0.14184258,TOI-4010,12.291,177.504,4960,0.88,0.83,K,0.39810717,1.7035848
TOI-4329 b,Transit,143.02278,16.813,2.9223,0.046184867,0.50595838,0.030093283,0.0019498252,0.046291646,0.043044296,0.049325438,2958.0603,1877.0429,,Jovian,0,Hot,0,0.054828121,TOI-4329,12.724,717.128,6000,1.54,2.31,F,6.2950618,6.7742897
Kepler-493 b,Transit,37500,15.13,3.0038766,0.0439,163.8149,10.827158,0.013266221,0.0439,0.0439,0.0439,1422.5612,1564.4708,,Jovian,0,Hot,0,0.060696776,Kepler-493,15.268,1745.77,6457,1.36,1.54,F,2.7415742,4.4705789
