Planet's Name,Planet's Detection Method,Planet's Mass,Planet's Radius,Planet's Period,Planet's Semimajor Axis,Planet's Gravity,Planet's Density,Planet's Hill Sphere,Planet's Distance,Planet's Periastron,Planet's Apastron,Planet's Flux,Planet's Equilibrium Temperature,Planet's Surface Temperature,Planet's Type,Planet's Habitability Zone Location,Planet's Temperature Type,Planet's Habitability,Planet's Earth Similarity Index,Star's Name,Star's Magnitude,Star's Distance,Star's Temperature,Star's Mass,Star's Radius,Star's Temperature Type,Star's Luminosity,Star's Snow Line
OGLE-2016-BLG-1227L b,Microlensing,250,13.9,,3.4,1.2939289,0.093088409,0.46157701,3.4,3.4,3.4,,,,Jovian,0,,0,,OGLE-2016-BLG-1227L,,,,0.1,,,,
Kepler-276 c,Transit,16.6,2.9,31.884,0.1994,1.9738407,0.68063471,0.0049288871,0.1994,0.1994,0.1994,20.490365,541.98483,,Neptunian,0,Hot,0,0.27203194,Kepler-276,15.481,1144.86,5779,1.1,1.03,G,0.81470428,2.4370462
Kepler-829 b,Transit,5.1,2.11,6.8833756,0.0678,1.1455268,0.54290371,0.0011752483,0.0678,0.0678,0.0678,238.52868,1001.1171,1130.6044,Superterran,0,Hot,0,0.25476271,Kepler-829,14.973,1073.76,5698,0.98,0.97,G,1.0964782,2.8272471
K2-283 b,Transit,12.2,3.52,1.921036,0.0291,0.98463326,0.27972536,0.00069662894,0.0291,0.0291,0.0291,353.35726,1104.4682,,Neptunian,0,Hot,0,0.19390612,K2-283,14.364,402.915,5060,0.89,0.82,K,0.29922646,1.4769431
Kepler-477 b,Transit,4.94,2.07,11.119907,0.0911,1.1528857,0.55694962,0.0016256967,0.0911,0.0911,0.0911,51.163853,681.30334,769.42507,Superterran,0,Hot,0,0.27672114,Kepler-477,13.835,367,5240,0.87,0.79,K,0.42461956,1.7593967
TOI-1260 c,Transit,13.2,2.76,7.493134,0.0657,1.7328292,0.62783668,0.0017661962,0.0657,0.0657,0.0657,29.91364,595.75408,,Neptunian,0,Hot,0,0.26044049,TOI-1260,11.922,73.5977,4227,0.68,0.67,K,0.12912193,0.97020557
HD 149143 b,Radial Velocity,422.7139,13.6,4.07182,0.053,2.2854341,0.16804663,0.0036815914,0.053007391,0.0521149,0.0538851,797.0927,1353.4874,,Jovian,0,Hot,0,0.067319209,HD 149143,7.89,73.2801,5856,1.2,1.44,G,2.2387211,4.0398363
HD 99492 b,Radial Velocity,25.5,5.44,17.0503,0.12,0.86167279,0.15839573,0.0036028875,0.12006936,0.11592,0.12408,23.274946,559.40675,,Neptunian,0,Hot,0,0.18841577,HD 99492,7.56727,18.2038,4929,0.85,0.82,K,0.33496544,1.5626574
nu Oph c,Radial Velocity,7838.3235,12,3180.6,5.829,54.432802,4.5360668,0.69063728,5.9223835,4.785609,6.872391,2.3490021,313.45519,,Jovian,0,Hot,0,0.3373425,nu Oph,3.31216,46.2107,4887,2.61,12.24,K,78.523563,23.925651
75 Cet b,Radial Velocity,787.89662,13.3,696.62,1.912,4.4541615,0.33489936,0.128905,1.9202684,1.734184,2.089816,14.220357,493.87889,,Jovian,0,Hot,0,0.13562122,75 Cet,5.3532,82.9613,4809,1.92,10.38,G,51.760683,19.425122
gam Lib b,Radial Velocity,357.87479,13.7,414.88,1.319,1.9067334,0.13917762,0.06492516,1.3358832,1.10796,1.53004,45.934794,659.97527,,Jovian,0,Hot,0,0.088135675,gam Lib,3.90672,47.4017,4879,1.78,12.38,K,78.886012,23.980805
HD 113337 c,Radial Velocity,6299.6769,12.1,5429.9348,6.805,43.027641,3.5560034,0.93724409,6.8965136,5.68898,7.92102,0.091256564,139.29974,,Jovian,0,Cold,0,0.15992948,HD 113337,6.02078,36.18,6667.33,1.41,1.53,F,4.1686938,5.5126925
HD 28109 c,Transit,7.943,4.23,56.00819,0.308,0.4439191,0.10494541,0.0050065885,0.3102287,0.2709476,0.3450524,30.34339,596.25222,,Neptunian,0,Hot,0,0.20694534,HD 28109,9.42,139.611,6120,1.26,1.45,F,2.8575905,4.5641905
TOI-238 b,Transit,3.4,1.402,1.2730991,0.02118,1.7297482,1.2337719,0.00028258059,0.021523116,0.0173676,0.0249924,766.12592,1331.9858,1504.2687,Terran,0,Hot,0,0.28487692,TOI-238,10.748,80.5407,5059,0.79,0.73,K,0.33806484,1.5698703
TOI-4562 b,Transit,732,12.53,225.11781,0.768,4.6623937,0.37209846,0.015679989,0.9897984,0.18432,1.35168,4.6710617,321.83958,,Jovian,0,Hot,0,0.24327995,TOI-4562,12.14,339.605,6096,1.19,1.15,F,1.7906059,3.6129651
HIP 12961 b,Radial Velocity,114.4188,13.2,57.435,0.25,0.65667355,0.049747996,0.011403009,0.2536125,0.2075,0.2925,1.6124565,285.48886,,Jovian,0,Hot,0,0.37027471,HIP 12961,10.25,23.371,3901,0.69,0.65,M,0.099311605,0.85087108
HD 11755 b,Radial Velocity,1789.3829,12.8,433.70001,1.09,10.921526,0.85324426,0.11962456,1.1096745,0.8829,1.2971,126.51179,848.4906,,Jovian,0,Hot,0,0.078038714,HD 11755,6.88269,235.045,4312,0.72,20.58,G,147.57065,32.799239
HD 29985 b,Radial Velocity,1739.4749,12.8,20608.14,13.39,10.616912,0.82944625,1.3101748,13.84607,9.89521,16.88479,0.00082368107,42.591788,,Jovian,0,Cold,0,0.070521771,HD 29985,9.98,31.2707,4678,0.75,0.57,K,0.14256076,1.0194449
HD 115954 b,Radial Velocity,2685.65,12.6,3700,5,16.916415,1.3425726,0.33749066,5.5929225,2.565,7.435,0.13862636,147.90128,,Jovian,0,Cold,0,0.19383483,HD 115954,8.34,87.6437,5957,1.18,1.21,G,3.0269134,4.6974673
HIP 97233 b,Radial Velocity,6098.1736,12.1,1062.2651,2.491,41.651347,3.44226,0.1382084,2.985339,0.92167,4.06033,3.3193869,313.86461,,Jovian,0,Hot,0,0.29066816,HIP 97233,7.34,102.275,5020,1.81,5.34,K,15.99558,10.798508
HD 95872 b,Radial Velocity,1188.6842,13,4375,5.15,7.0336343,0.54104879,0.57770991,5.15927,4.841,5.459,0.021635587,97.633371,,Jovian,0,Cold,0,0.091215607,HD 95872,9.955,72.2195,5312,0.7,0.84,K,0.57279603,2.0434488
OGLE-2015-BLG-0966L b,Microlensing,21,4.86,,2.7,0.88909211,0.18294076,0.1028713,2.7,2.7,2.7,,,,Neptunian,0,,0,,OGLE-2015-BLG-0966L,,3300,,0.38,,,,
TOI-1470 b,Transit,7.32,2.18,2.527093,0.0285,1.5402744,0.70654788,0.00049834781,0.0297825,0.01995,0.03705,48.505343,660.57708,746.01801,Superterran,0,Hot,0,0.27249568,TOI-1470,13.459,51.9503,3709,0.47,0.47,M,0.03758374,0.52343621
V1298 Tau b,Transit,203.41018,10.27,24.1396,0.1688,1.928554,0.1877852,0.0068298218,0.17589804,0.119848,0.217752,35.021205,609.64599,,Jovian,0,Hot,0,0.11439136,V1298 Tau,10.115,108.199,5050,1.1,1.34,K,0.95499259,2.6385405
HD 22946 d,Transit,26.57,2.607,47.42489,0.2958,3.9093944,1.4995759,0.0085529587,0.2958,0.2958,0.2958,18.492842,528.26352,,Neptunian,0,Hot,0,0.29154607,HD 22946,8.270001,62.7792,6169,1.1,1.12,F,1.61808,3.4345019
WASP-70 A b,Transit,187.512,13.047,3.7130203,0.04853,1.1015589,0.084430056,0.0026834751,0.04853,0.04853,0.04853,616.56578,1269.3885,,Jovian,0,Hot,0,0.070202469,WASP-70 A,10.786,222.355,5763,1.11,1.22,G,1.4521116,3.253597
HAT-P-18 b,Transit,62.61,11.153,5.508023,0.0559,0.50333867,0.045130339,0.0022189296,0.056097215,0.0512044,0.0605956,86.639115,776.16119,,Jovian,0,Hot,0,0.090927687,HAT-P-18,12.597,161.4,4803,0.77,0.75,K,0.26977394,1.4023737
HD 86226 c,Transit,7.25,2.16,3.98442,0.049,1.5539266,0.71941047,0.00087170393,0.049137813,0.045325,0.052675,492.98391,1199.0817,1354.1743,Superterran,0,Hot,0,0.24944255,HD 86226,7.93,45.683,5863,1.02,1.05,G,1.1803206,2.9333492
XO-4 b,Transit,451.3186,14.011,4.12508,0.05524,2.2990317,0.16408763,0.0041058439,0.05524,0.05524,0.05524,1125.8814,1475.6144,,Jovian,0,Hot,0,0.065191477,XO-4,10.814,272.655,6397,1.1,1.45,F,3.4355795,5.0045354
HATS-6 b,Transit,101.38777,11.187,3.3252725,0.03623,0.81013668,0.072417688,0.0020380922,0.03623,0.03623,0.03623,60.515041,710.50239,,Jovian,0,Hot,0,0.095913301,HATS-6,15.044,169.318,3724,0.57,0.57,M,0.079432823,0.76096339
K2-121 b,Transit,44.1,7.52,5.1857539,0.0629,0.77983533,0.10370151,0.0019621265,0.06442218,0.049062,0.076738,46.609183,659.46748,,Neptunian,0,Hot,0,0.13300305,K2-121,13.229,169.398,4690,0.69,0.67,K,0.17988709,1.1451537
HR 5183 b,Radial Velocity,1052.012,13.1,27000,18,6.130249,0.46795794,0.2864552,24.3504,2.88,33.12,0.014190121,71.282395,,Jovian,0,Cold,0,0.08314438,HR 5183,6.33432,31.4607,5794,1.07,1.53,G,2.4945947,4.2644572
K2-107 b,Transit,266.9772,15.98,3.313959,0.0475,1.0454918,0.065425018,0.0028032111,0.0475,0.0475,0.0475,1290.0685,1526.6972,,Jovian,0,Hot,0,0.057873065,K2-107,13.012,685.2,6061,1.3,1.81,F,2.9107171,4.6064225
WASP-13 b,Transit,114.4188,13.675,4.35301,0.05362,0.61184684,0.044741999,0.0029051397,0.05362,0.05362,0.05362,949.1752,1413.9573,,Jovian,0,Hot,0,0.066780801,WASP-13,10.424,227.537,5950,0.72,1.37,G,2.7289778,4.4602969
TOI-2076 b,Transit,6.89,2.518,10.35509,0.0682,1.0866953,0.43157079,0.0013868774,0.0682,0.0682,0.0682,81.176674,764.6409,,Neptunian,0,Hot,0,0.2456444,TOI-2076,9.139,41.9091,5200,0.82,0.77,K,0.37757219,1.6590664
GJ 436 b,Radial Velocity,22.1,4.17,2.6438831,0.0291,1.2709257,0.30477835,0.00090534531,0.029378176,0.025076343,0.033123657,31.003146,598.93765,,Neptunian,0,Hot,0,0.20789076,GJ 436,10.67,9.75321,3586.11,0.47,0.46,M,0.026001596,0.43537528
GJ 357 c,Radial Velocity,3.4,1.66,9.1247,0.061,1.2338511,0.74328378,0.001314564,0.061,0.061,0.061,4.2789807,366.38256,413.77153,Superterran,0,Hot,0,0.52704265,GJ 357,10.91,9.44181,3505,0.34,0.34,M,0.015922087,0.34069343
WASP-48 b,Transit,254.264,16.814,2.14363,0.03444,0.8993791,0.053489895,0.0022774514,0.03444,0.03444,0.03444,3205.3371,1916.7618,,Jovian,0,Hot,0,0.054797605,WASP-48,11.647,454.144,5920,0.88,1.58,G,3.801894,5.2645804
Kepler-18 d,Transit,16.4,6.98,14.85888,0.1172,0.33661464,0.048225593,0.003008871,0.1172,0.1172,0.1172,67.786744,730.94703,,Neptunian,0,Hot,0,0.13274712,Kepler-18,13.771,433.047,5345,0.97,1.11,G,0.93110788,2.6053361
WASP-132 c,Transit,37.35,1.85,1.011534,0.0182,10.913075,5.8989596,0.0005751413,0.01835379,0.015834,0.020566,770.11995,1337.683,1510.7028,Superterran,0,Hot,0,0.26387166,WASP-132,11.938,122.91,4714,0.78,0.75,K,0.2529298,1.3578874
WASP-82 b,Transit,371.8611,18.159,2.70579,0.0447,1.1277086,0.062101911,0.0028214073,0.0447,0.0447,0.0447,3114.4758,1903.0314,,Jovian,0,Hot,0,0.051096828,WASP-82,10.073,275.664,6480,1.48,2.1,F,6.2230029,6.7354058
WASP-36 b,Transit,750.39663,14.874,1.537366,0.02677,3.3918397,0.22803817,0.0023266176,0.026774832,0.02626137,0.02727863,1398.8839,1557.8144,,Jovian,0,Hot,0,0.061641258,WASP-36,12.836,386.346,5959,1.08,0.99,G,1.0023052,2.7031103
WASP-15 b,Transit,171.6282,15.805,3.7521,0.05165,0.68706788,0.043471552,0.0027170093,0.05165,0.05165,0.05165,1158.4021,1486.1565,,Jovian,0,Hot,0,0.058540397,WASP-15,10.972,282.091,6300,1.18,1.48,F,3.0902954,4.7463938
TOI-451 c,Transit,9.8,3.1,9.192522,0.0823,1.0197711,0.32895841,0.0017920601,0.0823,0.0823,0.0823,95.54332,796.434,,Neptunian,0,Hot,0,0.21854598,TOI-451,10.939,123.739,5550,0.95,0.88,G,0.64714262,2.1720197
HAT-P-2 c,Radial Velocity,3400.764,12.4,8500,8.9620237,22.117351,1.7836574,0.77227771,9.5754742,5.6460749,12.277972,0.058500189,121.90925,,Jovian,0,Cold,0,0.12967859,HAT-P-2,8.72,127.774,6412,1.33,1.42,F,4.3651583,5.6410996
WASP-181 b,Transit,95.03117,13.271,4.5195064,0.05427,0.53958365,0.040658854,0.0024450588,0.05427,0.05427,0.05427,380.08467,1124.7857,,Jovian,0,Hot,0,0.070246573,WASP-181,12.924,437.495,5839,1.04,0.97,G,1.1194379,2.8566943
TOI-451 d,Transit,15.6,4.07,16.364988,0.1208,0.94175033,0.23138829,0.0030712784,0.1208,0.1208,0.1208,44.347193,657.37963,,Neptunian,0,Hot,0,0.19987672,TOI-451,10.939,123.739,5550,0.95,0.88,G,0.64714262,2.1720197
WASP-133 b,Transit,368.6828,13.563,2.176423,0.0345,2.0042014,0.14776977,0.0019547028,0.034998525,0.028635,0.040365,1720.7978,1631.735,,Jovian,0,Hot,0,0.066760969,WASP-133,12.891,559.084,5700,1.16,1.44,G,2.0183664,3.835869
55 Cnc e,Radial Velocity,7.99,1.875,0.7365474,0.01544,2.2727111,1.2121126,0.00030268526,0.0154593,0.014668,0.016212,2668.3879,1830.0298,2066.7311,Superterran,0,Hot,0,0.2613764,55 Cnc,5.95084,12.5855,5172,0.91,0.94,G,0.63533093,2.1521065
HAT-P-69 b,Transit,1137.8314,18.786,4.7869491,0.06555,3.2241058,0.17162279,0.0057928098,0.06555,0.06555,0.06555,2327.312,1769.3484,,Jovian,0,Hot,0,0.049648215,HAT-P-69,9.774,341.263,7394,1.65,1.93,A,10,8.5381497
HAT-P-1 b,Transit,166.86075,14.785,4.4652998,0.05561,0.7633286,0.051628583,0.0029229649,0.05561,0.05561,0.05561,542.86796,1229.6266,,Jovian,0,Hot,0,0.063168333,HAT-P-1,9.827,158.979,5980,1.15,1.17,G,1.678804,3.4983541
WASP-24 b,Transit,394.1092,15.468,2.34121,0.03651,1.6472073,0.10649129,0.0023766064,0.03651,0.03651,0.03651,1607.5938,1613.035,,Jovian,0,Hot,0,0.059423299,WASP-24,11.219,322.114,6075,1.43,1.42,F,2.1428906,3.9524262
WASP-41 c,Radial Velocity,1010.6994,13.1,421,1.07,5.8895134,0.44958118,0.077687906,1.1162433,0.75542,1.38458,0.58326102,218.90496,,Jovian,1,Warm,0,0.36528976,WASP-41,11.632,163.371,5545,0.93,0.87,G,0.63826349,2.1570676
HAT-P-2 b,Transit,2866.8122,12.663,5.6335158,0.06814,17.878292,1.4118528,0.0042507984,0.077253583,0.032897992,0.10338201,852.68907,1300.3171,,Jovian,0,Hot,0,0.071564291,HAT-P-2,8.72,127.774,6380,1.33,1.39,F,3.3884416,4.9700844
KELT-8 b,Transit,209.7678,18.159,3.24406,0.0455,0.63614331,0.035031847,0.0027849612,0.0455364,0.04368,0.04732,889.86663,1390.9149,,Jovian,0,Hot,0,0.051940669,KELT-8,10.845,197.572,5754,0.81,1.46,G,1.840772,3.6632264
HAT-P-36 b,Transit,587.41341,14.314,1.3273468,0.0241,2.8669613,0.20029072,0.001873171,0.024147826,0.0225817,0.0256183,1814.803,1661.435,,Jovian,0,Hot,0,0.063609167,HAT-P-36,12.146,294.419,5620,1.03,1.04,G,1.0519619,2.7692602
WASP-5 b,Transit,502.15,12.184,1.6284279,0.0267,3.3826237,0.27762834,0.0020701048,0.026719277,0.0256854,0.0277146,1637.9146,1620.1487,,Jovian,0,Hot,0,0.073399944,WASP-5,12.147,309.137,5700,0.96,1.03,G,1.1668096,2.916512
HATS-24 b,Transit,718.2958,15.637,1.3484978,0.0238,2.9376257,0.18786376,0.0020845007,0.0238,0.0238,0.0238,2734.2995,1842.0916,,Jovian,0,Hot,0,0.058575136,HATS-24,12.915,494.182,6125,1.07,1.12,F,1.5488166,3.3601895
TOI-564 b,Transit,464.98529,11.433,1.651144,0.02734,3.5572862,0.31114197,0.0019661266,0.027410865,0.02537152,0.02930848,1447.2101,1569.6743,,Jovian,0,Hot,0,0.077668164,TOI-564,11.097,199.581,5640,1,1.09,G,1.0789467,2.8045537
HATS-30 b,Transit,224.38798,13.171,3.1743516,0.04354,1.2934871,0.098207202,0.0023246976,0.043740632,0.03936016,0.04771984,662.57288,1290.1931,,Jovian,0,Hot,0,0.069507373,HATS-30,12.283,342.14,5943,1.09,1.06,G,1.250259,3.0190045
HAT-P-12 b,Transit,67.059,10.749,3.2130598,0.0384,0.58039137,0.053994918,0.001733117,0.0384,0.0384,0.0384,142.34347,879.90158,,Jovian,0,Hot,0,0.088733732,HAT-P-12,12.665,142.751,4650,0.73,0.7,K,0.20989399,1.2369831
TOI-481 b,Transit,486.2799,11.097,10.33111,0.097,3.948891,0.35585212,0.0061863461,0.098135337,0.082159,0.111841,292.81962,1049.1183,,Jovian,0,Hot,0,0.082638,TOI-481,9.972,179.366,5735,1.14,1.66,G,2.7227013,4.4551647
Kepler-435 b,Transit,266.97,22.31,8.6001536,0.0948,0.53636857,0.024041621,0.004684622,0.09541601,0.0839928,0.1056072,1507.3839,1583.4034,,Jovian,0,Hot,0,0.042630862,Kepler-435,13.704,1418.77,6161,1.54,3.21,F,13.458604,9.9052117
K2-136 d,Transit,3,1.565,25.575,0.1538,1.2248773,0.78266917,0.0022788749,0.15418765,0.1428802,0.1647198,7.0824699,415.17819,468.87852,Terran,0,Hot,0,0.44553947,K2-136,11.101,59.2474,4500,0.74,0.68,K,0.16710906,1.1037323
HD 149026 b,Radial Velocity,120.7754,8.295,2.87589,0.04364,1.7552772,0.21160665,0.0019197,0.04364,0.04364,0.04364,1585.7347,1607.5235,,Jovian,0,Hot,0,0.10182417,HD 149026,8.15,75.8643,6179,1.42,1.41,G,3.0199517,4.6920622
WASP-170 b,Transit,508.528,12.285,2.3447802,0.0337,3.3694929,0.274277,0.0027565072,0.0337,0.0337,0.0337,677.23625,1299.5254,,Jovian,0,Hot,0,0.073802519,WASP-170,12.613,305.603,5600,0.93,0.94,G,0.76913044,2.3679022
Qatar-3 b,Transit,1369.8473,12.285,2.5079204,0.03783,9.0765716,0.73883366,0.0040112497,0.03783,0.03783,0.03783,1328.3953,1537.9122,,Jovian,0,Hot,0,0.073024845,Qatar-3,12.929,735.601,6007,1.15,1.27,G,1.9010783,3.7227491
WASP-18 c,Transit Timing Variations,55.2,8.58,2.1558,0.035,0.74983292,0.087393114,0.001228804,0.035003937,0.034475,0.035525,1972.0266,1697.4992,,Jovian,0,Hot,0,0.098883669,WASP-18,9.28,123.483,6400,1.22,1.23,F,2.4154608,4.1962733
KPS-1 b,Transit,346.4347,11.545,1.706291,0.0269,2.599163,0.22513322,0.0019646325,0.0269,0.0269,0.0269,613.04936,1267.5747,,Jovian,0,Hot,0,0.078029026,KPS-1,12.97,262.706,5165,0.89,0.91,K,0.44360864,1.7983067
HAT-P-9 b,Transit,238.05467,15.614,3.9228107,0.05287,0.97644628,0.062536588,0.0027651091,0.053056525,0.04842892,0.05731108,939.98084,1408.6502,,Jovian,0,Hot,0,0.059392693,HAT-P-9,12.344,455.203,6350,1.28,1.34,F,2.618183,4.3688161
TOI-216.01,Transit,177.98391,10.1,34.525528,0.2069,1.7447692,0.17274943,0.012642706,0.20690219,0.20594826,0.20785174,8.4427439,434.22907,,Jovian,0,Hot,0,0.19583607,TOI-216,12.324,177.945,5026,0.77,0.75,K,0.36140986,1.6231691
HATS-42 b,Transit,597.5204,15.693,2.292102,0.03689,2.4262793,0.15460901,0.0022127446,0.037857274,0.02844219,0.04533781,2008.5357,1688.3079,,Jovian,0,Hot,0,0.058526786,HATS-42,13.682,800.377,6060,1.27,1.48,F,2.6607251,4.4041669
HAT-P-13 c,Radial Velocity,4538.421,12.3,446.27,1.258,29.998156,2.4388745,0.064269738,1.5333225,0.4257072,2.0902928,1.8692195,268.61753,,Jovian,1,Warm,0,0.36217656,HAT-P-13,10.421,246.81,5653,1.32,1.76,G,2.2181964,4.0212749
K2-116 b,Transit,0.257,0.69,4.655411,0.048,0.53980256,0.78232255,0.00032472497,0.0480864,0.04512,0.05088,78.037018,756.62603,854.49021,Subterran,0,Hot,0,0.29868753,K2-116,10.8,49.3855,4348.35,0.69,0.67,K,0.17947336,1.143836
TOI-257 b,Transit,43.86032,7.163,18.38818,0.1528,0.85483421,0.11934025,0.0048068381,0.1528,0.1528,0.1528,185.2479,939.80561,,Neptunian,0,Hot,0,0.12004219,TOI-257,7.57,76.9028,6095,1.41,1.87,F,4.3251383,5.6151811
Qatar-5 b,Transit,1373.0256,12.408,2.8792319,0.04127,8.918156,0.71874242,0.004405073,0.04127,0.04127,0.04127,667.93017,1295.0379,,Jovian,0,Hot,0,0.073190977,Qatar-5,12.614,367.658,5747,1.13,1.08,G,1.1376273,2.8798095
WASP-10 b,Transit,1001.12,12.106,3.0927616,0.03781,6.8310081,0.56426632,0.0039672513,0.037852296,0.036021587,0.039598413,160.42536,906.2241,,Jovian,0,Hot,0,0.079821269,WASP-10,12.413,140.998,4675,0.75,0.7,K,0.22908677,1.2923012
55 Cnc c,Radial Velocity,54.4738,8.51,44.3989,0.2373,0.75219173,0.088389157,0.0090067923,0.23740679,0.230181,0.244419,11.287559,466.84897,,Jovian,0,Hot,0,0.18618842,55 Cnc,5.95084,12.5855,5172,0.91,0.94,G,0.63533093,2.1521065
HD 219134 f,Radial Velocity,7.3,1.31,22.717,0.1463,4.2538314,3.2471995,0.0025946679,0.14790228,0.1246476,0.1679524,12.511823,477.12207,538.8344,Terran,0,Hot,0,0.39013041,HD 219134,5.56911,6.53127,4699,0.81,0.78,K,0.26485001,1.3895167
K2-132 b,Transit,155.7367,14.572,9.1751,0.0916,0.73341982,0.050330759,0.0034113646,0.09545178,0.065036,0.118164,1092.1569,1440.6756,,Jovian,0,Hot,0,0.062991844,K2-132,12.071,609.818,4840,1.08,3.85,K,8.7700082,7.9958339
WASP-76 b,Transit,292.4036,20.512,1.809886,0.033,0.69497103,0.033881193,0.0019312677,0.033,0.033,0.033,4487.1658,2084.9361,,Jovian,0,Hot,0,0.045586607,WASP-76,9.518,194.459,6250,1.46,1.73,F,4.8865236,5.9684803
KELT-15 b,Transit,416.3573,19.504,3.32944,0.04613,1.0945077,0.056117087,0.002707915,0.04613,0.04613,0.04613,1213.4813,1503.5158,,Jovian,0,Hot,0,0.048385685,KELT-15,11.39,324.683,6003,2.06,1.78,F,2.5822602,4.3387414
K2-290 c,Transit,246.00042,11.276,48.36685,0.305,1.9347538,0.17158157,0.018039094,0.305,0.305,0.305,28.274851,587.42143,,Jovian,0,Hot,0,0.11435476,K2-290,11.114,272.909,6302,1.19,1.51,F,2.630268,4.3788873
WASP-90 b,Transit,200.2329,18.271,3.916243,0.0562,0.59980599,0.032828307,0.0028417736,0.0562,0.0562,0.0562,1350.6019,1544.2996,,Jovian,0,Hot,0,0.051251405,WASP-90,11.618,466.433,6430,1.55,1.98,F,4.2657952,5.5765264
K2-284 b,Transit,8.15,2.78,4.795069,0.04771,1.054552,0.37933527,0.0010329151,0.047855134,0.04398862,0.05143138,42.766758,650.69818,,Neptunian,0,Hot,0,0.24752379,K2-284,13.265,107.272,4140,0.63,0.61,K,0.097050997,0.84113124
LP 714-47 b,Transit,30.8,4.7,4.052037,0.0417,1.3942961,0.29665874,0.001496553,0.04173336,0.040032,0.043368,43.15942,652.737,,Neptunian,0,Hot,0,0.18365733,LP 714-47,12.492,52.616,3950,0.59,0.58,M,0.074989421,0.7393733
TrES-4 b,Transit,247.9074,18.046,3.55395,0.05084,0.76125049,0.042183891,0.0031137187,0.05084,0.05084,0.05084,2058.6803,1715.9196,,Jovian,0,Hot,0,0.051562375,TrES-4,11.932,515.98,6200,1.08,1.66,F,5.3210826,6.2282174
NGTS-2 b,Transit,235.1942,17.878,4.511164,0.063,0.73584906,0.041159473,0.0032985271,0.063,0.063,0.063,1077.2559,1459.4171,,Jovian,0,Hot,0,0.052468776,NGTS-2,10.789,356.391,6478,1.64,1.7,F,4.2756289,5.5829503
WASP-73 b,Transit,908.9938,15.917,4.08722,0.05512,3.5878848,0.22541212,0.0039247734,0.05512,0.05512,0.05512,2052.9652,1714.7275,,Jovian,0,Hot,0,0.057773416,WASP-73,10.468,316.678,6030,2.52,2.55,F,6.2373484,6.7431647
WASP-81 b,Transit,231.69807,16.018,2.7164762,0.03908,0.90303761,0.056376427,0.0021856783,0.039165116,0.03650072,0.04165928,1156.2157,1484.2397,,Jovian,0,Hot,0,0.057844844,WASP-81,12.469,398.505,5870,1.08,1.28,G,1.761976,3.583965
Kepler-105 b,Transit,5.1,4.81,5.4122,0.066,0.22043473,0.045828427,0.00055470037,0.0732897,0.03498,0.09702,1052.2417,1385.7672,,Neptunian,0,Hot,0,0.15553724,Kepler-105,12.981,459.223,6397,1.28,1.58,F,4.0457589,5.4307994
WASP-139 b,Transit,37.18611,8.967,5.924262,0.062,0.46247303,0.051575,0.0021283412,0.062,0.062,0.062,117.54837,838.7912,,Neptunian,0,Hot,0,0.10404129,WASP-139,12.456,212.472,5310,0.92,0.8,K,0.45185594,1.8149462
HATS-41 b,Transit,3082.951,14.908,4.193649,0.0583,13.871641,0.93048306,0.0045969588,0.06250926,0.036146,0.080454,1430.6306,1522.0714,,Jovian,0,Hot,0,0.061498985,HATS-41,12.678,737.668,6424,1.5,1.71,F,4.4977985,5.7261638
Qatar-1 b,Transit,411.27202,12.812,1.4200242,0.02332,2.5055052,0.19555926,0.0018385005,0.02332,0.02332,0.02332,670.72255,1296.3893,,Jovian,0,Hot,0,0.071178641,Qatar-1,12.692,185.615,5013,0.84,0.8,K,0.36475395,1.6306613
WASP-8 c,Radial Velocity,3003.37,12.5,4323,5.28,19.221568,1.5377254,0.75210361,5.28,5.28,5.28,0.031385724,107.22171,,Jovian,0,Cold,0,0.10344184,WASP-8,9.789,89.9606,5690,1.04,0.99,G,0.87498378,2.5255953
WASP-23 b,Transit,280.95,10.783,2.9444256,0.0376,2.4162943,0.22408368,0.0025100791,0.037672267,0.0352688,0.0399312,297.48196,1057.1858,,Jovian,0,Hot,0,0.084581542,WASP-23,12.539,207.49,5150,0.78,0.77,K,0.41975898,1.7492979
TOI-421 c,Transit,16.42,5.09,16.06819,0.1189,0.63377863,0.12451446,0.002706124,0.12027353,0.1008272,0.1369728,38.611096,632.23389,,Neptunian,0,Hot,0,0.17762407,TOI-421,9.931,74.7969,5325,0.85,0.87,G,0.53951062,1.9831874
NGTS-1 b,Transit,258.07796,14.908,2.647298,0.0326,1.1612137,0.077891984,0.0023958026,0.032604173,0.0320784,0.0331216,66.163793,726.49723,,Jovian,0,Hot,0,0.076503599,NGTS-1,15.667,218.121,3916,0.62,0.57,M,0.070307232,0.7159188
K2-136 c,Transit,18.1,3,17.30713,0.1185,2.0111111,0.67037037,0.0032790305,0.11863088,0.1129305,0.1240695,11.913614,473.07559,,Neptunian,0,Hot,0,0.30565293,K2-136,11.101,59.2474,4500,0.74,0.68,K,0.16710906,1.1037323
HD 191939 e,Radial Velocity,112.2,13,101.12,0.407,0.66390533,0.05106964,0.020411396,0.40719556,0.394383,0.419617,3.9266298,358.53075,,Jovian,0,Hot,0,0.26257852,HD 191939,8.97,53.6089,5348,0.81,0.94,G,0.65012969,2.1770267
